ISSN,Full Title,SCI/SCIE,Impact Factor,Rank,Category
0968-0004,TRENDS IN BIOCHEMICAL SCIENCES,SCI,12.810,8,BIOCHEMISTRY & MOLECULAR BIOLOGY
1552-4450,NATURE CHEMICAL BIOLOGY,SCI,12.709,9,BIOCHEMISTRY & MOLECULAR BIOLOGY
1088-9051,GENOME RESEARCH,SCI,11.351,10,BIOCHEMISTRY & MOLECULAR BIOLOGY
0163-7827,PROGRESS IN LIPID RESEARCH,SCI,11.238,11,BIOCHEMISTRY & MOLECULAR BIOLOGY
0265-0568,NATURAL PRODUCT REPORTS,SCI,10.986,12,BIOCHEMISTRY & MOLECULAR BIOLOGY
0098-2997,MOLECULAR ASPECTS OF MEDICINE,SCIE,10.860,13,BIOCHEMISTRY & MOLECULAR BIOLOGY
1744-4292,MOLECULAR SYSTEMS BIOLOGY,SCI,10.581,14,BIOCHEMISTRY & MOLECULAR BIOLOGY
0261-4189,EMBO JOURNAL,SCI,9.643,15,BIOCHEMISTRY & MOLECULAR BIOLOGY
0966-842X,TRENDS IN MICROBIOLOGY,SCI,9.500,16,BIOCHEMISTRY & MOLECULAR BIOLOGY
1471-4914,TRENDS IN MOLECULAR MEDICINE,SCI,9.292,17,BIOCHEMISTRY & MOLECULAR BIOLOGY
0305-1048,NUCLEIC ACIDS RESEARCH,SCI,9.202,18,BIOCHEMISTRY & MOLECULAR BIOLOGY
0960-9822,CURRENT BIOLOGY,SCI,8.983,19,BIOCHEMISTRY & MOLECULAR BIOLOGY
1040-9238,CRITICAL REVIEWS IN BIOCHEMISTRY AND MOLECULAR BIOLOGY,SCI,8.867,20,BIOCHEMISTRY & MOLECULAR BIOLOGY
1545-7885,PLOS BIOLOGY,SCI,8.668,21,BIOCHEMISTRY & MOLECULAR BIOLOGY
1040-4651,PLANT CELL,SCI,8.538,22,BIOCHEMISTRY & MOLECULAR BIOLOGY
1350-9047,CELL DEATH AND DIFFERENTIATION,SCI,8.218,23,BIOCHEMISTRY & MOLECULAR BIOLOGY
0950-9232,ONCOGENE,SCI,7.932,24,BIOCHEMISTRY & MOLECULAR BIOLOGY
0304-419X,BIOCHIMICA ET BIOPHYSICA ACTA-REVIEWS ON CANCER,SCI,7.841,25,BIOCHEMISTRY & MOLECULAR BIOLOGY
1469-221X,EMBO REPORTS,SCI,7.739,26,BIOCHEMISTRY & MOLECULAR BIOLOGY
1367-5931,CURRENT OPINION IN CHEMICAL BIOLOGY,SCI,7.643,27,BIOCHEMISTRY & MOLECULAR BIOLOGY
1945-0877,SCIENCE SIGNALING,SCIE,7.359,28,BIOCHEMISTRY & MOLECULAR BIOLOGY
1674-2052,MOLECULAR PLANT,SCIE,7.142,29,BIOCHEMISTRY & MOLECULAR BIOLOGY
1523-0864,ANTIOXIDANTS & REDOX SIGNALING,SCI,7.093,30,BIOCHEMISTRY & MOLECULAR BIOLOGY
0959-440X,CURRENT OPINION IN STRUCTURAL BIOLOGY,SCI,6.713,31,BIOCHEMISTRY & MOLECULAR BIOLOGY
1359-6101,CYTOKINE & GROWTH FACTOR REVIEWS,SCI,6.571,32,BIOCHEMISTRY & MOLECULAR BIOLOGY
2213-2317,REDOX BIOLOGY,SCIE,6.235,33,BIOCHEMISTRY & MOLECULAR BIOLOGY
0964-6906,HUMAN MOLECULAR GENETICS,SCI,5.985,34,BIOCHEMISTRY & MOLECULAR BIOLOGY
0962-1083,MOLECULAR ECOLOGY,SCI,5.947,35,BIOCHEMISTRY & MOLECULAR BIOLOGY
1476-4598,MOLECULAR CANCER,SCIE,5.888,36,BIOCHEMISTRY & MOLECULAR BIOLOGY
0891-5849,FREE RADICAL BIOLOGY AND MEDICINE,SCI,5.784,37,BIOCHEMISTRY & MOLECULAR BIOLOGY
1074-5521,CHEMISTRY & BIOLOGY,SCI,5.774,38,BIOCHEMISTRY & MOLECULAR BIOLOGY
1462-3994,EXPERT REVIEWS IN MOLECULAR MEDICINE,SCIE,5.710,39,BIOCHEMISTRY & MOLECULAR BIOLOGY
1420-682X,CELLULAR AND MOLECULAR LIFE SCIENCES,SCI,5.694,40,BIOCHEMISTRY & MOLECULAR BIOLOGY
1525-7797,BIOMACROMOLECULES,SCI,5.583,41,BIOCHEMISTRY & MOLECULAR BIOLOGY
1874-9399,BIOCHIMICA ET BIOPHYSICA ACTA-GENE REGULATORY MECHANISMS,SCI,5.373,42,BIOCHEMISTRY & MOLECULAR BIOLOGY
0957-9672,CURRENT OPINION IN LIPIDOLOGY,SCI,5.336,43,BIOCHEMISTRY & MOLECULAR BIOLOGY
0303-4240,REVIEWS OF PHYSIOLOGY BIOCHEMISTRY AND PHARMACOLOGY,SCI,5.333,44,BIOCHEMISTRY & MOLECULAR BIOLOGY
0892-6638,FASEB JOURNAL,SCI,5.299,45,BIOCHEMISTRY & MOLECULAR BIOLOGY
1755-098X,MOLECULAR ECOLOGY RESOURCES,SCIE,5.298,46,BIOCHEMISTRY & MOLECULAR BIOLOGY
0969-2126,STRUCTURE,SCI,5.237,47,BIOCHEMISTRY & MOLECULAR BIOLOGY
1226-3613,EXPERIMENTAL AND MOLECULAR MEDICINE,SCI,5.164,48,BIOCHEMISTRY & MOLECULAR BIOLOGY
0925-4439,BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR BASIS OF DISEASE,SCI,5.158,49,BIOCHEMISTRY & MOLECULAR BIOLOGY
0167-4889,BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR CELL RESEARCH,SCI,5.128,50,BIOCHEMISTRY & MOLECULAR BIOLOGY
1554-8929,ACS CHEMICAL BIOLOGY,SCIE,5.090,51,BIOCHEMISTRY & MOLECULAR BIOLOGY
0304-4165,BIOCHIMICA ET BIOPHYSICA ACTA-GENERAL SUBJECTS,SCI,5.083,52,BIOCHEMISTRY & MOLECULAR BIOLOGY
0005-2728,BIOCHIMICA ET BIOPHYSICA ACTA-BIOENERGETICS,SCI,4.864,53,BIOCHEMISTRY & MOLECULAR BIOLOGY
2046-2441,OPEN BIOLOGY,SCIE,4.822,54,BIOCHEMISTRY & MOLECULAR BIOLOGY
1388-1981,BIOCHIMICA ET BIOPHYSICA ACTA-MOLECULAR AND CELL BIOLOGY OF LIPIDS,SCI,4.779,55,BIOCHEMISTRY & MOLECULAR BIOLOGY
1559-2294,EPIGENETICS,SCIE,4.774,56,BIOCHEMISTRY & MOLECULAR BIOLOGY
0265-9247,BIOESSAYS,SCI,4.725,57,BIOCHEMISTRY & MOLECULAR BIOLOGY
0899-1987,MOLECULAR CARCINOGENESIS,SCI,4.722,58,BIOCHEMISTRY & MOLECULAR BIOLOGY
0955-2863,JOURNAL OF NUTRITIONAL BIOCHEMISTRY,SCI,4.668,59,BIOCHEMISTRY & MOLECULAR BIOLOGY
1018-4813,EUROPEAN JOURNAL OF HUMAN GENETICS,SCI,4.580,60,BIOCHEMISTRY & MOLECULAR BIOLOGY
1355-6215,ADDICTION BIOLOGY,SCIE,4.547,61,BIOCHEMISTRY & MOLECULAR BIOLOGY
0022-2836,JOURNAL OF MOLECULAR BIOLOGY,SCI,4.517,62,BIOCHEMISTRY & MOLECULAR BIOLOGY
0951-6433,BIOFACTORS,SCIE,4.504,63,BIOCHEMISTRY & MOLECULAR BIOLOGY
1043-1802,BIOCONJUGATE CHEMISTRY,SCI,4.500,64,BIOCHEMISTRY & MOLECULAR BIOLOGY
0945-053X,MATRIX BIOLOGY,SCI,4.470,65,BIOCHEMISTRY & MOLECULAR BIOLOGY
0270-7306,MOLECULAR AND CELLULAR BIOLOGY,SCI,4.427,66,BIOCHEMISTRY & MOLECULAR BIOLOGY
0022-2275,JOURNAL OF LIPID RESEARCH,SCI,4.368,67,BIOCHEMISTRY & MOLECULAR BIOLOGY
1948-7193,ACS CHEMICAL NEUROSCIENCE,SCIE,4.348,68,BIOCHEMISTRY & MOLECULAR BIOLOGY
1355-8382,RNA,SCI,4.344,69,BIOCHEMISTRY & MOLECULAR BIOLOGY
0009-5915,CHROMOSOMA,SCI,4.303,70,BIOCHEMISTRY & MOLECULAR BIOLOGY
0021-9258,JOURNAL OF BIOLOGICAL CHEMISTRY,SCI,4.258,71,BIOCHEMISTRY & MOLECULAR BIOLOGY
1742-464X,FEBS JOURNAL,SCI,4.237,72,BIOCHEMISTRY & MOLECULAR BIOLOGY
0894-0282,MOLECULAR PLANT-MICROBE INTERACTIONS,SCI,4.145,73,BIOCHEMISTRY & MOLECULAR BIOLOGY
1044-1549,AMERICAN JOURNAL OF RESPIRATORY CELL AND MOLECULAR BIOLOGY,SCI,4.082,74,BIOCHEMISTRY & MOLECULAR BIOLOGY
1615-9853,PROTEOMICS,SCI,4.079,75,BIOCHEMISTRY & MOLECULAR BIOLOGY
1547-6286,RNA BIOLOGY,SCIE,4.076,76,BIOCHEMISTRY & MOLECULAR BIOLOGY
0960-0760,JOURNAL OF STEROID BIOCHEMISTRY AND MOLECULAR BIOLOGY,SCI,3.985,77,BIOCHEMISTRY & MOLECULAR BIOLOGY
1449-2288,INTERNATIONAL JOURNAL OF BIOLOGICAL SCIENCES,SCIE,3.982,78,BIOCHEMISTRY & MOLECULAR BIOLOGY
1673-8527,JOURNAL OF GENETICS AND GENOMICS,SCIE,3.981,79,BIOCHEMISTRY & MOLECULAR BIOLOGY
1357-2725,INTERNATIONAL JOURNAL OF BIOCHEMISTRY & CELL BIOLOGY,SCI,3.905,80,BIOCHEMISTRY & MOLECULAR BIOLOGY
0167-4412,PLANT MOLECULAR BIOLOGY,SCI,3.905,80,BIOCHEMISTRY & MOLECULAR BIOLOGY
1063-5823,CURRENT TOPICS IN MEMBRANES,SCIE,3.881,82,BIOCHEMISTRY & MOLECULAR BIOLOGY
0022-3042,JOURNAL OF NEUROCHEMISTRY,SCI,3.842,83,BIOCHEMISTRY & MOLECULAR BIOLOGY
1055-7903,MOLECULAR PHYLOGENETICS AND EVOLUTION,SCI,3.792,84,BIOCHEMISTRY & MOLECULAR BIOLOGY
0965-1748,INSECT BIOCHEMISTRY AND MOLECULAR BIOLOGY,SCI,3.767,85,BIOCHEMISTRY & MOLECULAR BIOLOGY
0950-382X,MOLECULAR MICROBIOLOGY,SCI,3.761,86,BIOCHEMISTRY & MOLECULAR BIOLOGY
1089-8603,NITRIC OXIDE-BIOLOGY AND CHEMISTRY,SCI,3.760,87,BIOCHEMISTRY & MOLECULAR BIOLOGY
1937-6448,INTERNATIONAL REVIEW OF CELL AND MOLECULAR BIOLOGY,SCI,3.752,88,BIOCHEMISTRY & MOLECULAR BIOLOGY
0005-2736,BIOCHIMICA ET BIOPHYSICA ACTA-BIOMEMBRANES,SCI,3.687,89,BIOCHEMISTRY & MOLECULAR BIOLOGY
1616-5187,MACROMOLECULAR BIOSCIENCE,SCI,3.680,90,BIOCHEMISTRY & MOLECULAR BIOLOGY
1672-9072,JOURNAL OF INTEGRATIVE PLANT BIOLOGY,SCIE,3.670,91,BIOCHEMISTRY & MOLECULAR BIOLOGY
0065-2318,ADVANCES IN CARBOHYDRATE CHEMISTRY AND BIOCHEMISTRY,SCI,3.667,92,BIOCHEMISTRY & MOLECULAR BIOLOGY
1360-8185,APOPTOSIS,SCI,3.592,93,BIOCHEMISTRY & MOLECULAR BIOLOGY
0264-6021,BIOCHEMICAL JOURNAL,SCI,3.562,94,BIOCHEMISTRY & MOLECULAR BIOLOGY
1567-5394,BIOELECTROCHEMISTRY,SCI,3.556,95,BIOCHEMISTRY & MOLECULAR BIOLOGY
1756-5901,METALLOMICS,SCIE,3.540,96,BIOCHEMISTRY & MOLECULAR BIOLOGY
1076-1551,MOLECULAR MEDICINE,SCI,3.530,97,BIOCHEMISTRY & MOLECULAR BIOLOGY
0014-5793,FEBS LETTERS,SCI,3.519,98,BIOCHEMISTRY & MOLECULAR BIOLOGY
1046-2023,METHODS,SCI,3.503,99,BIOCHEMISTRY & MOLECULAR BIOLOGY
0929-8673,CURRENT MEDICINAL CHEMISTRY,SCI,3.455,100,BIOCHEMISTRY & MOLECULAR BIOLOGY
0730-2312,JOURNAL OF CELLULAR BIOCHEMISTRY,SCI,3.446,101,BIOCHEMISTRY & MOLECULAR BIOLOGY
0925-2738,JOURNAL OF BIOMOLECULAR NMR,SCI,3.439,102,BIOCHEMISTRY & MOLECULAR BIOLOGY
1475-6366,JOURNAL OF ENZYME INHIBITION AND MEDICINAL CHEMISTRY,SCI,3.428,103,BIOCHEMISTRY & MOLECULAR BIOLOGY
0197-0186,NEUROCHEMISTRY INTERNATIONAL,SCI,3.385,104,BIOCHEMISTRY & MOLECULAR BIOLOGY
0071-1365,ESSAYS IN BIOCHEMISTRY,SCI,3.378,105,BIOCHEMISTRY & MOLECULAR BIOLOGY
0161-5890,MOLECULAR IMMUNOLOGY,SCI,3.375,106,BIOCHEMISTRY & MOLECULAR BIOLOGY
1877-1173,PROGRESS IN MOLECULAR BIOLOGY AND TRANSLATIONAL SCIENCE,SCI,3.364,107,BIOCHEMISTRY & MOLECULAR BIOLOGY
0168-9452,PLANT SCIENCE,SCI,3.362,108,BIOCHEMISTRY & MOLECULAR BIOLOGY
0959-6658,GLYCOBIOLOGY,SCI,3.283,109,BIOCHEMISTRY & MOLECULAR BIOLOGY
1422-0067,INTERNATIONAL JOURNAL OF MOLECULAR SCIENCES,SCIE,3.257,110,BIOCHEMISTRY & MOLECULAR BIOLOGY
0969-7128,GENE THERAPY,SCI,3.242,111,BIOCHEMISTRY & MOLECULAR BIOLOGY
0162-0134,JOURNAL OF INORGANIC BIOCHEMISTRY,SCI,3.205,112,BIOCHEMISTRY & MOLECULAR BIOLOGY
0920-654X,JOURNAL OF COMPUTER-AIDED MOLECULAR DESIGN,SCI,3.199,113,BIOCHEMISTRY & MOLECULAR BIOLOGY
0939-4451,AMINO ACIDS,SCI,3.196,114,BIOCHEMISTRY & MOLECULAR BIOLOGY
0952-3278,PROSTAGLANDINS LEUKOTRIENES AND ESSENTIAL FATTY ACIDS,SCI,3.155,115,BIOCHEMISTRY & MOLECULAR BIOLOGY
0098-0331,JOURNAL OF CHEMICAL ECOLOGY,SCI,3.151,116,BIOCHEMISTRY & MOLECULAR BIOLOGY
0141-8130,INTERNATIONAL JOURNAL OF BIOLOGICAL MACROMOLECULES,SCI,3.138,117,BIOCHEMISTRY & MOLECULAR BIOLOGY
0961-8368,PROTEIN SCIENCE,SCI,3.039,118,BIOCHEMISTRY & MOLECULAR BIOLOGY
1011-1344,JOURNAL OF PHOTOCHEMISTRY AND PHOTOBIOLOGY B-BIOLOGY,SCI,3.035,119,BIOCHEMISTRY & MOLECULAR BIOLOGY
1044-0305,JOURNAL OF THE AMERICAN SOCIETY FOR MASS SPECTROMETRY,SCI,3.031,120,BIOCHEMISTRY & MOLECULAR BIOLOGY
1570-9639,BIOCHIMICA ET BIOPHYSICA ACTA-PROTEINS AND PROTEOMICS,SCI,3.016,121,BIOCHEMISTRY & MOLECULAR BIOLOGY
1071-5762,FREE RADICAL RESEARCH,SCI,2.949,122,BIOCHEMISTRY & MOLECULAR BIOLOGY
1043-4666,CYTOKINE,SCI,2.940,123,BIOCHEMISTRY & MOLECULAR BIOLOGY
0968-0896,BIOORGANIC & MEDICINAL CHEMISTRY,SCI,2.923,124,BIOCHEMISTRY & MOLECULAR BIOLOGY
1547-6278,ORGANOGENESIS,SCIE,2.910,125,BIOCHEMISTRY & MOLECULAR BIOLOGY
1098-8823,PROSTAGLANDINS & OTHER LIPID MEDIATORS,SCIE,2.905,126,BIOCHEMISTRY & MOLECULAR BIOLOGY
0009-3084,CHEMISTRY AND PHYSICS OF LIPIDS,SCI,2.901,127,BIOCHEMISTRY & MOLECULAR BIOLOGY
2045-3701,CELL AND BIOSCIENCE,SCIE,2.883,128,BIOCHEMISTRY & MOLECULAR BIOLOGY
0006-2960,BIOCHEMISTRY,SCI,2.876,129,BIOCHEMISTRY & MOLECULAR BIOLOGY
0962-1075,INSECT MOLECULAR BIOLOGY,SCI,2.866,130,BIOCHEMISTRY & MOLECULAR BIOLOGY
1439-4227,CHEMBIOCHEM,SCI,2.850,131,BIOCHEMISTRY & MOLECULAR BIOLOGY
1389-2002,CURRENT DRUG METABOLISM,SCIE,2.847,132,BIOCHEMISTRY & MOLECULAR BIOLOGY
1753-4259,INNATE IMMUNITY,SCIE,2.830,133,BIOCHEMISTRY & MOLECULAR BIOLOGY
1742-206X,MOLECULAR BIOSYSTEMS,SCI,2.829,134,BIOCHEMISTRY & MOLECULAR BIOLOGY
2159-3337,NUCLEIC ACID THERAPEUTICS,SCI,2.813,135,BIOCHEMISTRY & MOLECULAR BIOLOGY
0003-9861,ARCHIVES OF BIOCHEMISTRY AND BIOPHYSICS,SCI,2.807,136,BIOCHEMISTRY & MOLECULAR BIOLOGY
1747-0277,CHEMICAL BIOLOGY & DRUG DESIGN,SCI,2.802,137,BIOCHEMISTRY & MOLECULAR BIOLOGY
1976-6696,BMB REPORTS,SCIE,2.782,138,BIOCHEMISTRY & MOLECULAR BIOLOGY
0031-9422,PHYTOCHEMISTRY,SCI,2.779,139,BIOCHEMISTRY & MOLECULAR BIOLOGY
0065-2911,ADVANCES IN MICROBIAL PHYSIOLOGY,SCI,2.727,140,BIOCHEMISTRY & MOLECULAR BIOLOGY
1431-6730,BIOLOGICAL CHEMISTRY,SCI,2.710,141,BIOCHEMISTRY & MOLECULAR BIOLOGY
2042-6496,FOOD & FUNCTION,SCIE,2.686,142,BIOCHEMISTRY & MOLECULAR BIOLOGY
0300-5127,BIOCHEMICAL SOCIETY TRANSACTIONS,SCI,2.679,143,BIOCHEMISTRY & MOLECULAR BIOLOGY
1016-8478,MOLECULES AND CELLS,SCI,2.670,144,BIOCHEMISTRY & MOLECULAR BIOLOGY
1521-6543,IUBMB LIFE,SCI,2.653,145,BIOCHEMISTRY & MOLECULAR BIOLOGY
1617-4615,MOLECULAR GENETICS AND GENOMICS,SCI,2.622,146,BIOCHEMISTRY & MOLECULAR BIOLOGY
0009-2797,CHEMICO-BIOLOGICAL INTERACTIONS,SCI,2.618,147,BIOCHEMISTRY & MOLECULAR BIOLOGY
1351-0002,REDOX REPORT,SCIE,2.606,148,BIOCHEMISTRY & MOLECULAR BIOLOGY
1742-5255,EXPERT OPINION ON DRUG METABOLISM & TOXICOLOGY,SCIE,2.598,149,BIOCHEMISTRY & MOLECULAR BIOLOGY
0967-3849,CHROMOSOME RESEARCH,SCI,2.590,150,BIOCHEMISTRY & MOLECULAR BIOLOGY
0079-6107,PROGRESS IN BIOPHYSICS & MOLECULAR BIOLOGY,SCI,2.581,151,BIOCHEMISTRY & MOLECULAR BIOLOGY
1044-5498,DNA AND CELL BIOLOGY,SCI,2.574,152,BIOCHEMISTRY & MOLECULAR BIOLOGY
1047-8477,JOURNAL OF STRUCTURAL BIOLOGY,SCI,2.570,153,BIOCHEMISTRY & MOLECULAR BIOLOGY
1148-5493,EUROPEAN CYTOKINE NETWORK,SCI,2.562,154,BIOCHEMISTRY & MOLECULAR BIOLOGY
0946-672X,JOURNAL OF TRACE ELEMENTS IN MEDICINE AND BIOLOGY,SCI,2.550,155,BIOCHEMISTRY & MOLECULAR BIOLOGY
1532-0456,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY C-TOXICOLOGY & PHARMACOLOGY,SCI,2.546,156,BIOCHEMISTRY & MOLECULAR BIOLOGY
0196-9781,PEPTIDES,SCI,2.535,157,BIOCHEMISTRY & MOLECULAR BIOLOGY
1359-5113,PROCESS BIOCHEMISTRY,SCI,2.529,158,BIOCHEMISTRY & MOLECULAR BIOLOGY
0039-128X,STEROIDS,SCI,2.513,159,BIOCHEMISTRY & MOLECULAR BIOLOGY
2059-7983,ACTA CRYSTALLOGRAPHICA SECTION D-STRUCTURAL BIOLOGY,SCI,2.512,160,BIOCHEMISTRY & MOLECULAR BIOLOGY
1471-2199,BMC MOLECULAR BIOLOGY,SCIE,2.500,161,BIOCHEMISTRY & MOLECULAR BIOLOGY
0887-3585,PROTEINS-STRUCTURE FUNCTION AND BIOINFORMATICS,SCI,2.499,162,BIOCHEMISTRY & MOLECULAR BIOLOGY
0949-8257,JOURNAL OF BIOLOGICAL INORGANIC CHEMISTRY,SCI,2.495,163,BIOCHEMISTRY & MOLECULAR BIOLOGY
1093-9946,FRONTIERS IN BIOSCIENCE-LANDMARK,SCIE,2.484,164,BIOCHEMISTRY & MOLECULAR BIOLOGY
0300-9084,BIOCHIMIE,SCI,2.474,165,BIOCHEMISTRY & MOLECULAR BIOLOGY
0364-3190,NEUROCHEMICAL RESEARCH,SCI,2.472,166,BIOCHEMISTRY & MOLECULAR BIOLOGY
0144-8463,BIOSCIENCE REPORTS,SCI,2.446,167,BIOCHEMISTRY & MOLECULAR BIOLOGY
1933-6896,PRION,SCIE,2.444,168,BIOCHEMISTRY & MOLECULAR BIOLOGY
1389-2037,CURRENT PROTEIN & PEPTIDE SCIENCE,SCIE,2.441,169,BIOCHEMISTRY & MOLECULAR BIOLOGY
1389-2029,CURRENT GENOMICS,SCIE,2.430,170,BIOCHEMISTRY & MOLECULAR BIOLOGY
0021-924X,JOURNAL OF BIOCHEMISTRY,SCI,2.397,171,BIOCHEMISTRY & MOLECULAR BIOLOGY
0048-3575,PESTICIDE BIOCHEMISTRY AND PHYSIOLOGY,SCI,2.388,172,BIOCHEMISTRY & MOLECULAR BIOLOGY
0006-291X,BIOCHEMICAL AND BIOPHYSICAL RESEARCH COMMUNICATIONS,SCI,2.371,173,BIOCHEMISTRY & MOLECULAR BIOLOGY
1741-0126,PROTEIN ENGINEERING DESIGN & SELECTION,SCI,2.364,174,BIOCHEMISTRY & MOLECULAR BIOLOGY
0301-4622,BIOPHYSICAL CHEMISTRY,SCI,2.363,175,BIOCHEMISTRY & MOLECULAR BIOLOGY
0895-8696,JOURNAL OF MOLECULAR NEUROSCIENCE,SCI,2.352,176,BIOCHEMISTRY & MOLECULAR BIOLOGY
1350-6129,AMYLOID-JOURNAL OF PROTEIN FOLDING DISORDERS,SCI,2.351,177,BIOCHEMISTRY & MOLECULAR BIOLOGY
1431-0651,EXTREMOPHILES,SCI,2.346,178,BIOCHEMISTRY & MOLECULAR BIOLOGY
2040-2503,MEDCHEMCOMM,SCIE,2.319,179,BIOCHEMISTRY & MOLECULAR BIOLOGY
1095-6670,JOURNAL OF BIOCHEMICAL AND MOLECULAR TOXICOLOGY,SCIE,2.303,180,BIOCHEMISTRY & MOLECULAR BIOLOGY
0739-1102,JOURNAL OF BIOMOLECULAR STRUCTURE & DYNAMICS,SCI,2.300,181,BIOCHEMISTRY & MOLECULAR BIOLOGY
0736-6205,BIOTECHNIQUES,SCI,2.298,182,BIOCHEMISTRY & MOLECULAR BIOLOGY
0749-503X,YEAST,SCI,2.259,183,BIOCHEMISTRY & MOLECULAR BIOLOGY
1744-117X,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY D-GENOMICS & PROTEOMICS,SCI,2.254,184,BIOCHEMISTRY & MOLECULAR BIOLOGY
0045-2068,BIOORGANIC CHEMISTRY,SCI,2.252,185,BIOCHEMISTRY & MOLECULAR BIOLOGY
0006-3525,BIOPOLYMERS,SCI,2.248,186,BIOCHEMISTRY & MOLECULAR BIOLOGY
0003-2697,ANALYTICAL BIOCHEMISTRY,SCI,2.243,187,BIOCHEMISTRY & MOLECULAR BIOLOGY
1474-905X,PHOTOCHEMICAL & PHOTOBIOLOGICAL SCIENCES,SCI,2.235,188,BIOCHEMISTRY & MOLECULAR BIOLOGY
1381-1177,JOURNAL OF MOLECULAR CATALYSIS B-ENZYMATIC,SCI,2.189,189,BIOCHEMISTRY & MOLECULAR BIOLOGY
0083-6729,VITAMINS AND HORMONES,SCI,2.161,190,BIOCHEMISTRY & MOLECULAR BIOLOGY
1040-452X,MOLECULAR REPRODUCTION AND DEVELOPMENT,SCI,2.141,191,BIOCHEMISTRY & MOLECULAR BIOLOGY
1476-511X,LIPIDS IN HEALTH AND DISEASE,SCIE,2.137,192,BIOCHEMISTRY & MOLECULAR BIOLOGY
1079-9907,JOURNAL OF INTERFERON AND CYTOKINE RESEARCH,SCI,2.135,193,BIOCHEMISTRY & MOLECULAR BIOLOGY
0966-0844,BIOMETALS,SCI,2.134,194,BIOCHEMISTRY & MOLECULAR BIOLOGY
1672-9145,ACTA BIOCHIMICA ET BIOPHYSICA SINICA,SCIE,2.124,195,BIOCHEMISTRY & MOLECULAR BIOLOGY
1090-0535,MOLECULAR VISION,SCI,2.110,196,BIOCHEMISTRY & MOLECULAR BIOLOGY
2211-5463,FEBS OPEN BIO,SCIE,2.101,197,BIOCHEMISTRY & MOLECULAR BIOLOGY
0952-3499,JOURNAL OF MOLECULAR RECOGNITION,SCI,2.091,198,BIOCHEMISTRY & MOLECULAR BIOLOGY
0938-8990,MAMMALIAN GENOME,SCI,2.078,199,BIOCHEMISTRY & MOLECULAR BIOLOGY
0166-6851,MOLECULAR AND BIOCHEMICAL PARASITOLOGY,SCI,2.068,200,BIOCHEMISTRY & MOLECULAR BIOLOGY
1138-7548,JOURNAL OF PHYSIOLOGY AND BIOCHEMISTRY,SCIE,2.054,201,BIOCHEMISTRY & MOLECULAR BIOLOGY
0962-8819,TRANSGENIC RESEARCH,SCI,2.054,201,BIOCHEMISTRY & MOLECULAR BIOLOGY
1095-6433,COMPARATIVE BIOCHEMISTRY AND PHYSIOLOGY A-MOLECULAR & INTEGRATIVE PHYSIOLOGY,SCI,2.039,203,BIOCHEMISTRY & MOLECULAR BIOLOGY
0263-6484,CELL BIOCHEMISTRY AND FUNCTION,SCI,2.016,204,BIOCHEMISTRY & MOLECULAR BIOLOGY
1933-6950,CHANNELS,SCIE,2.008,205,BIOCHEMISTRY & MOLECULAR BIOLOGY
0031-8655,PHOTOCHEMISTRY AND PHOTOBIOLOGY,SCI,2.008,205,BIOCHEMISTRY & MOLECULAR BIOLOGY
0022-2631,JOURNAL OF MEMBRANE BIOLOGY,SCI,1.991,207,BIOCHEMISTRY & MOLECULAR BIOLOGY
0968-7688,MOLECULAR MEMBRANE BIOLOGY,SCI,1.983,208,BIOCHEMISTRY & MOLECULAR BIOLOGY
1541-9061,CELL COMMUNICATION AND ADHESION,SCI,1.955,209,BIOCHEMISTRY & MOLECULAR BIOLOGY
1075-2617,JOURNAL OF PEPTIDE SCIENCE,SCI,1.951,210,BIOCHEMISTRY & MOLECULAR BIOLOGY
0024-4201,LIPIDS,SCI,1.892,211,BIOCHEMISTRY & MOLECULAR BIOLOGY
0937-7409,CHEMOECOLOGY,SCIE,1.863,212,BIOCHEMISTRY & MOLECULAR BIOLOGY
0022-2844,JOURNAL OF MOLECULAR EVOLUTION,SCI,1.847,213,BIOCHEMISTRY & MOLECULAR BIOLOGY
1478-3967,PHYSICAL BIOLOGY,SCIE,1.837,214,BIOCHEMISTRY & MOLECULAR BIOLOGY
2314-436X,INTERNATIONAL JOURNAL OF GENOMICS,SCIE,1.830,215,BIOCHEMISTRY & MOLECULAR BIOLOGY
0282-0080,GLYCOCONJUGATE JOURNAL,SCI,1.828,216,BIOCHEMISTRY & MOLECULAR BIOLOGY
0008-6215,CARBOHYDRATE RESEARCH,SCI,1.817,217,BIOCHEMISTRY & MOLECULAR BIOLOGY
1389-2010,CURRENT PHARMACEUTICAL BIOTECHNOLOGY,SCIE,1.802,218,BIOCHEMISTRY & MOLECULAR BIOLOGY
0891-0618,JOURNAL OF CHEMICAL NEUROANATOMY,SCI,1.800,219,BIOCHEMISTRY & MOLECULAR BIOLOGY
0163-4984,BIOLOGICAL TRACE ELEMENT RESEARCH,SCI,1.798,220,BIOCHEMISTRY & MOLECULAR BIOLOGY
0898-2104,JOURNAL OF LIPOSOME RESEARCH,SCIE,1.797,221,BIOCHEMISTRY & MOLECULAR BIOLOGY
